name,longitude,latitude
ул. Сатпаева - ул. Масанчи,76.931,43.2373
ул.Кабдолова – ул.Утеген батыр ,76.8588036,43.2397553
ул.Сатпаева - пр.Достык,76.9577,43.239
ул.Шевченко - ул.Ауэзова,76.9038,43.2433
пр. Назарбаева - ул. Кабанбай батыра,76.9476,43.2497
ул.Жубанова - ул.Утеген батыра,76.860434,43.236583
ул. Гоголя - пр. Достык,76.9548231,43.2604168
ул.Кабдолова - ул.Алтынсарина,76.852575,43.2366478
ул.Толе би – ул.Байзакова,76.9108289,43.2525725
ул.Жандосова – ул.Саина,76.864047,43.208042
Ул. Шаляпина - ул. Момышулы,76.8426902,43.209695
ул. Макатаева – ул.Наурызбай батыра,76.9352778,43.2633611
ул. Кабанбай батыра - ул. Желтоксан ,76.9402,43.2494
ул.Богенбай батыр - ул.Масанчи,76.9303013,43.2521386
ул.Шаляпина – ул.Берегового,76.863722,43.217428
ул.Толе би – ул.Желтоксан,76.9394444,43.2544444
"ул.Гагарина, 292 (выше ул. Ескараева)",76.8988118,43.2062702
ул.Сатпаева - ул.Байзакова,76.914953,43.236758
пр. Достык - ул. Жолдасбекова ,76.958203,43.234857
ул.Гоголя – ул.Байтурсынова,76.9261219,43.2585115
ул.Гоголя - ул.Наурызбай батыра,76.936004,43.259363
пр.Абая – ул.Тургут Озала,76.8835,43.2378
ул.Ауэзова - ул.Габдулина ,76.9058,43.228
ул.Толе би – ул.Розыбакиева,76.888421,43.250707
,76.8203982,43.2601354
ул. Тимирязева - ул. Жарокова,76.900758,43.225355
пр.Абая – ул.Розыбакиева,76.8904,43.2383
ул. Мендикулова - ул. Бектурова,76.9532,43.2324
ул.Сатпаева - ул.Наурызбай батыра,76.9382913,43.2377719
ул.Жубанова - ул. Айриха,76.84415,43.23257
ул.Жандосова – ул.Жарокова,76.900181,43.2322375
ул. Кабанбай батыра - ул.Мауленова,76.935447,43.248819
ул.Торайгырова - ул.Навои,76.8851,43.2039
ул.Гоголя - ул.Шагабутдинова,76.919957,43.258138
пр. Аль-Фараби -  ул.Бальзака,76.936,43.2232
Ул.Богенбай батыра - ул.Валиханова,76.95212,43.253621
пр.Абая – ул.Алтынсарина ,76.8626,43.2265
Ул. Маметовой – ул.Кунаева,76.9482222,43.2675833
ул.Макатаева – ул.Калдаякова,76.9575,43.2646944
пр.Райымбека – ул.Абылай хана ,76.9397759,43.2696385
ул. Утепова - ул. Гагарина,76.897073,43.2187418
ТРЦ Esentai Mall,76.9281458,43.2177435
ул.Тимирязева - ул.Ауэзова (Атакент),76.9064,43.2257
ул.Пушкина – пр.Райымбека ,76.951816,43.269329
ул.Сатпаева – пр.Сейфуллина,76.9348354,43.2377384
"мкрн Нуркент, 57 (Торгово - административный комплекс)",76.8212847,43.2536278
ул. Момышулы - ул. Улугбека,76.8364792,43.2247834
ул.Ходжанова - ул.Ергожина,76.9076899,43.2108069
ул.Жамбыла - ул.Айманова,76.896255,43.244505
"ул.Алтынсарина, 24А (кинотеатр Сарыарка)",76.8592145,43.2290725
ул.Шевченко - ул.Муканова,76.9163,43.2444
ул.Карасай батыр – ул.Муратбаева,76.9187534,43.2495328
ул.Розыбакиева – пр. Аль-Фараби,76.894539,43.196861
ул.Жарокова - ул.Левитана,76.9042977,43.2039355
ул.Шаляпина – ул.Алтынсарина,76.8689577,43.221258
ул.Курмангазы - ул.Шарипова,76.9236961,43.2433401
"мкрн Жетысу-1, дом 30",76.8377471,43.2211087
ТЦ ,76.8402994,43.2384756
"мкрн Аксай - 1А, 14 ",76.8287032,43.2404187
ул.Жандосова – ул.Берегового,76.868351,43.211298
ул.Толе би – ул Байтурсынова,76.9258333,43.2536111
ул.Абиша Кекилбайулы (колледж искусств имени Т.К.Жургенова),76.889727,43.206113
"ул.Торайгырова, 19 (Колледж им.Сулеймана Демиреля)",76.8754,43.202
ул.Жамбула–ул.Манаса,76.9077,43.245
ул.Толе би – ул.Жарокова,76.8976369,43.2509873
пр.Аль-Фараби – ул.Мустафина ,76.880626,43.194999
по ул. Момышулы ниже пр.Абая,76.8390507,43.2178308
пр.Абая – ул.Тлендиева,76.8758721,43.2359466
ул.Гоголя – ул.Ауезова ,76.9018333,43.2565278
ул.Карасай батыра - ул.Гагарина,76.8934,43.2479
ул.Гагарина - ул.Кожабекова,76.899056,43.20075
ул.Биржана – ул.Навои,76.886831,43.199347
пр.Абая – ул.Брусиловского,76.8785,43.2368
ул.Ходжанова - Жарокова,76.9035454,43.2105876
ул.Кунаева – ул.Курмангазы,76.9513889,43.245
пр. Абая - ул. Абылай хана,76.9432418,43.2423882
ул.Ауэзова - бульвар Бухар Жырау,76.904766,43.2309643
По ул.Жубанова (между ул.Саина и ул.Момышулы),76.836416,43.2309348
ул. Кунаева - ул. Айтеке би,76.9499674,43.2584736
пр. Назарбаева - ул. Шевченко ,76.948,43.2466
ул.Ходжанова - пр.Аль-Фараби  ,76.9133196,43.206754
ул.Маметова – ул.Абылай хана ,76.9402204,43.2668486
ул. Толе би – пр. Сейфуллина,76.9310673,43.2536452
ул.Гоголя – пр.Сейфуллина ,76.9323405,43.2594768
"ул.Жандосова, 144/1 (Университет Нархоз)",76.872855,43.214657
ул. Желтоксан - ул. Шевченко,76.9411,43.2461
ул.Тимирязева - ул.Розыбакиева,76.8917251,43.2249749
"Станция метро ""Сары-Арка""",76.8592,43.223999
ул.Макатаева–ул.Байтурсынова,76.924713,43.262619
бульвар Бухар жырау - река Есентай,76.9201793,43.2317921
ул. Макатаева – пр.Сейфуллина,76.9314722,43.2626944
ул.Байтурсынова – ул.Габдуллина,76.9315733,43.2336566
ул.Мустафина – ул.Торайгырова,76.878809,43.202634
пр.Аль-Фараби-ул.Мендикулова,76.9541,43.2287
ул.Толе би – ул.Утеген батыра,76.8557416,43.2454947
пр.Рыскулова - ул.Момышулы (Магнум),76.8244697,43.2505285
ул. Шевченко  - ул. Байтурсынова,76.926952,43.245598
ул.Шевченко - ул.Розыбакиева,76.889494,43.242258
ул.Жандосова – ул.Алтынсарина,76.8763177,43.2166856
ул.Курмангазы - ул.Муканова,76.9165,43.2424
ул.Карасай - ул.Байтурсынова ,76.9264,43.25
пр.Аль-Фараби Университет ,76.917639,43.210718
ул.Сатпаева – ул.Брусиловского,76.8793,43.233986
пр.Аль-Фараби–ул.Ремизовка,76.924373,43.215427
ул.Кажымукана - ул.Сапара Байжанова,76.959477,43.225509
ул.Рыскулбекова – ул.Навои ,76.8839551,43.2074536
пр.Абая – ул.24 июня,76.90733,43.239555
ул.Карасай батыра - ул.Розыбакиева,76.8888349,43.2474029
ул. Сатпаева - пр. Назарбаева,76.9492,43.2391
ул.Толе би – ул.Гайдара,76.882933,43.250288
ул.Гоголя – ул.Байзакова ,76.9109722,43.2573056
Станция метро ,76.8685,43.2311
ул. Утепова - ул. Розыбакиева,76.892202,43.218817
ул.Манаса - ул.Мынбаева,76.908878,43.237032
ул.Саина - ул.Юрия Ким,76.860071,43.210849
ул.Алтынсарина – ул.Юрия Кима ,76.871953,43.219831
Исиналиева 37 (мкрн.Казахфильм),76.9070573,43.1980652
ул. Жибек жолы - ул. Желтоксан,76.938959,43.261615
Станция метро ,76.9275395,43.2385707
ул.Сатпаева –  ул.Ауэзова,76.9043,43.2357
"Станция метро Станция метро ""Бауыржан Момышулы""",76.838242,43.216618
ул. Назарбаева–ул.Хаджымукана,76.953318,43.224545
ул. Гагарина - ул. Ходжанова,76.8984417,43.2103789
ул.Сатпаева – ул.Жарокова,76.899823,43.234934
ул. Толе би - пр. Назарбаева,76.9469313,43.2551105
ул.Пушкина - ул.Кабанбай батыра,76.9541,43.2505
ул.Жандосова – ул.Розыбакиева,76.890985,43.227652
пр. Толе би - ул. Гагарина,76.893704,43.2510993
ул. Толе би - ул. Момышулы,76.8296743,43.2384863
ул.Шевченко - пр.Сейфуллина,76.9337,43.2456
ул. Тимирязева - ул. Байтурсынова,76.9345,43.2313
ул.Гоголя – ул.Каирбекова,76.961,43.2610278
пр.Абая – ул.Саина,76.8524,43.2202
ул.Тимирязева - река Есентай (КазНУ им.Аль-Фараби),76.9243329,43.2266824
ул. Момышулы - ул. Жубанова,76.8337237,43.230069
ул.Розыбакиева (ТРЦ MEGA Alma-Ata),76.894507,43.201913
ул.Толе би - ул.Наурызбай батыра,76.936,43.2541
Центральный парк культуры и отдыха им.Горького,76.9657778,43.2611111
ул.Жарокова - ул.Байкадамова,76.9029077,43.215234
ул.Шаляпина - ул.Щепеткова,76.874311,43.227076
ул.Гагарина – ул.Басенова,76.8970087,43.2215068
ул.Байтурсынова - бульвар Бухар Жырау,76.928,43.2362
ул.Шакарима – ул.Брусиловского,76.877691,43.242347
пр.Райымбека – пр. Назарбаева,76.9445219,43.2701102
пр. Райымбека - пр.Сейфуллина,76.9305,43.2699444
ул.Рыскулбекова – ул.Сулейменова,76.8796605,43.2066294
"мкрн Нуркент, 37",76.822015,43.2564219
Станция метро ,76.9514523,43.2428603
ул.Жубанова - ул.Алтынсарина,76.853492,43.234918
ул.Саина – ул.Улугбека,76.845741,43.226683
пр.Аль-Фараби -пр.Сейфуллина,76.9412,43.227
ул. Кабанбай батыра – ул.Шарипова,76.9230966,43.2479529
ул.Жамбыла - ул.Муратбаева ,76.9198,43.2459
"мкрн. Мамыр 2, дом 3",76.8497692,43.2113403
ул. Утепова - ул. Жарокова,76.901815,43.219364
ул.Карасай батыра - ул.Байзакова,76.91206,43.249351
ул.Абиша Кекилбайулы - ул. Журавлева,76.8881223,43.2152166
ул. Жибек жолы - ул. Панфилова,76.9441494,43.2628805
ул.Толе би- ул. Муратбаева,76.9188743,43.2532487
ул.Жандосова - ул.Гагарина ,76.8958,43.2303
Фэмили парк ,76.85857,43.22414
Ул. Момышулы - ул. Маргулана,76.8327054,43.2327304
ул.Нусупбекова – ул.Маметова,76.955043,43.267946
Станция метро ,76.9172,43.2402
Ул. Карасай батыра - ул. Клочкова,76.9008683,43.2481622
ул.Рыскулбекова – ул.Саина ,76.867354,43.204197
По ул.Улугбека ( между ул. Саина и ул.Момышулы),76.8395711,43.2252573
пр. Абая - пр. Достык,76.956374,43.2432182
"​мкрн Жетысу-3, 24/2",76.8457678,43.2184331
пр.Аль-Фараби - ул.Козыбаева,76.9479147,43.2286197
ул.Сулейменова – ул.Пятницкого,76.8783469,43.213025
ул.Сатпаева - река Есентай,76.9217,43.2366
ул.Сатпаева - ул.Гагарина,76.895,43.235
пр.Абая – ул.Байзакова,76.914,43.24
пр.Абая – ул.Гагарина ,76.8955,43.2387
ул. Тимирязева - ул.Манаса,76.911,43.2261
ул.Сатпаева – ул.Розыбакиева,76.890101,43.234815
ул.Маметовой – ул.Панфилова;,76.9435278,43.2673056
ул.Шевченко - ул.Гагарина,76.8940273,43.2428162
Станция метро ,76.8983679,43.2387569
