name,latitude,longitude,free_bikes,empty_slots,total_docks
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"003447 - Gloucester Road (North), Kensington",51.49792478,-0.183834706,0,17,17
"200213 - Durant Street, Bethnal Green",51.52868155,-0.065550321,11,10,21
"003488 - Charles II Street, West End",51.50844614,-0.131961389,0,22,22
"001126 - North Audley Street, Mayfair",51.5129118,-0.153645496,0,14,14
"300004 - Harris Academy, Bermondsey",51.492668,-0.072350665,14,3,17
"001209 - Empire Square, The Borough",51.50082346,-0.089740764,23,22,45
"001189 - Long Lane , Bermondsey",51.49907558,-0.085666316,18,2,20
"001068 - Norton Folgate, Liverpool Street",51.52111369,-0.078869751,0,23,23
"001057 - Hardwick Street, Clerkenwell",51.5278427,-0.1080682,23,7,30
"001204 - Queen's Gate (North), Kensington",51.50102668,-0.180246101,0,38,38
"200052 - Exhibition Road Museums 2, South Kensington",51.495947,-0.17368958,1,13,14
"001158 - St. Martin's Street, West End",51.50908747,-0.129697889,1,16,17
"001143 - Kensington Church Street, Kensington",51.50315739,-0.191496313,8,8,16
"200072 - Houndsditch, Aldgate",51.514449,-0.077178979,1,27,28
"002701 - Columbia Road, Shoreditch",51.528187,-0.075375,19,1,20
"001190 - Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.12249239999999872,26,3,29
"200249 - Queen Mary's, Mile End",51.522507,-0.041378,3,38,41
"200050 - Naval Row, Blackwall",51.508981,-0.00699,19,2,21
"001152 - Marylebone Lane, Marylebone",51.51475963,-0.148105415,0,21,21
"300212 - Birkenhead Street, King's Cross",51.5301998755,-0.122299440803,26,1,27
"001174 - Alderney Street, Pimlico",51.48805753,-0.140741432,12,0,12
"001099 - Frampton Street, Paddington",51.5233534,-0.175116099,26,4,30
"200127 - East India DLR, Blackwall",51.509474,-0.002275,32,16,48
"200198 - Seymour Place, Marylebone",51.520331,-0.163667,3,24,27
"001231 - Queen's Gate, Kensington Gardens",51.5017154373867,-0.1798541843891,2,16,18
"200017 - Lancaster Gate , Bayswater",51.511654,-0.179668,20,16,36
"200118 - Albert Street, Camden Town",51.537706,-0.14480190000000448,16,9,25
"200091 - Wandsworth Town Station, Wandsworth",51.46086446,-0.187427294,29,1,30
"001191 - Barbican Centre, Barbican",51.52004497,-0.092176447,0,19,19
"010623 - Greycoat Street , Westminster",51.49459148,-0.134234258,3,14,17
"200149 - Watney Street, Shadwell",51.511542,-0.056667,14,11,25
"001019 - Ampton Street , Clerkenwell",51.52728093,-0.11829517,8,12,20
"300058 - The Vale, Chelsea",51.48512191,-0.174971902,4,18,22
"200073 - Cephas Street, Bethnal Green",51.522561,-0.054883,10,11,21
"200180 - South Park, Sands End",51.46706414,-0.193502076,23,4,27
"300081 - Haggerston Road, Haggerston",51.53932857,-0.074284675,33,2,35
"200189 - Phene Street, Chelsea",51.48498496,-0.167919869,7,14,21
"200209 - Shepherd's Bush Road North, Shepherd's Bush",51.5015946,-0.222293381,30,1,31
"200077 - Vicarage Crescent, Battersea",51.47287627,-0.176267008,12,18,30
"002587 - Wormwood Street, Liverpool Street",51.51615461,-0.082422399,0,15,15
"200190 - Queen's Circus, Battersea Park",51.47761941,-0.149551631,25,2,27
"200220 - Blythe Road West, Shepherd's Bush",51.49968,-0.221791551,19,0,19
"001037 - Park Lane , Hyde Park",51.5100172,-0.157275636,2,22,24
"300208 - Lavington Street, Bankside",51.5052241745,-0.0980318118664,12,17,29
"200168 - Southern Grove, Bow",51.523538,-0.030556,8,9,17
"002641 - New North Road 2, Hoxton",51.53114,-0.086016,19,3,22
"001155 - Regency Street, Westminster",51.49206037,-0.132224622,17,4,21
"200218 - Addison Road, Holland Park",51.504199,-0.210941,10,14,24
"300209 - Albert Square, Stockwell",51.4765900593,-0.118256789081,32,0,32
"003449 - Breams Buildings, Holborn",51.51593725,-0.111778348,0,23,23
"010629 - Rotherhithe Roundabout, Rotherhithe",51.499169,-0.055846029,15,4,19
"200194 - Clarence Walk, Stockwell",51.47073264,-0.126994068,27,0,27
"001122 - Ashley Place, Victoria",51.49616092,-0.140947636,3,18,21
"001147 - Clifton Road, Maida Vale",51.52557531,-0.179592915,21,0,21
"001144 - Poured Lines, Bankside",51.50669284,-0.103137426,9,22,31
"200238 - Westferry DLR, Limehouse",51.509303,-0.025996,27,11,38
"200106 - Spanish Road, Clapham Junction",51.45922541,-0.180884959,19,10,29
"300024 - Dunston Road , Haggerston",51.53658514,-0.075885686,15,25,40
"001121 - Lexham Gardens, Kensington",51.49586666,-0.191933711,10,9,19
"001109 - Wellington Arch, Hyde Park",51.50274025,-0.149569201,4,24,28
"001192 - Embankment (Savoy), Strand",51.50963123,-0.119047563,22,19,41
"003450 - Great Titchfield Street, Fitzrovia",51.52025302,-0.141327271,2,16,18
"200153 - Blythe Road, Olympia",51.496927,-0.21350087,17,6,23
"001038 - Harrington Square 1, Camden Town",51.53301907,-0.139174593,18,7,25
"022169 - Wren Street, Holborn",51.524564,-0.116279,2,29,31
"300205 - Cromer Street, Bloomsbury",51.528279,-0.11955857,25,3,28
"022167 - Millharbour, Millwall",51.496137,-0.019355,18,1,19
"300065 - Clapham Common North Side, Clapham Common",51.46134382,-0.159322467,24,12,36
"200086 - Ilchester Gardens, Bayswater",51.51244,-0.19096,8,11,19
