name,longitude,latitude
"300073 - Prince of Wales Drive, Battersea Park",-0.159169801,51.47515398
"003447 - Gloucester Road (North), Kensington",-0.183834706,51.49792478
"200213 - Durant Street, Bethnal Green",-0.065550321,51.52868155
"003488 - Charles II Street, West End",-0.131961389,51.50844614
"001126 - North Audley Street, Mayfair",-0.153645496,51.5129118
"300004 - Harris Academy, Bermondsey",-0.072350665,51.492668
"001209 - Empire Square, The Borough",-0.089740764,51.50082346
"001189 - Long Lane , Bermondsey",-0.085666316,51.49907558
"001068 - Norton Folgate, Liverpool Street",-0.078869751,51.52111369
"001057 - Hardwick Street, Clerkenwell",-0.1080682,51.5278427
"001204 - Queen's Gate (North), Kensington",-0.180246101,51.50102668
"200052 - Exhibition Road Museums 2, South Kensington",-0.17368958,51.495947
"001158 - St. Martin's Street, West End",-0.129697889,51.50908747
"001143 - Kensington Church Street, Kensington",-0.191496313,51.50315739
"200072 - Houndsditch, Aldgate",-0.077178979,51.514449
"002701 - Columbia Road, Shoreditch",-0.075375,51.528187
"001190 - Kennington Lane Rail Bridge, Vauxhall",-0.12249239999999872,51.4863434
"200249 - Queen Mary's, Mile End",-0.041378,51.522507
"200050 - Naval Row, Blackwall",-0.00699,51.508981
"001152 - Marylebone Lane, Marylebone",-0.148105415,51.51475963
"300212 - Birkenhead Street, King's Cross",-0.122299440803,51.5301998755
"001174 - Alderney Street, Pimlico",-0.140741432,51.48805753
"001099 - Frampton Street, Paddington",-0.175116099,51.5233534
"200127 - East India DLR, Blackwall",-0.002275,51.509474
"200198 - Seymour Place, Marylebone",-0.163667,51.520331
"001231 - Queen's Gate, Kensington Gardens",-0.1798541843891,51.5017154373867
"200017 - Lancaster Gate , Bayswater",-0.179668,51.511654
"200118 - Albert Street, Camden Town",-0.14480190000000448,51.537706
"200091 - Wandsworth Town Station, Wandsworth",-0.187427294,51.46086446
"001191 - Barbican Centre, Barbican",-0.092176447,51.52004497
"010623 - Greycoat Street , Westminster",-0.134234258,51.49459148
"200149 - Watney Street, Shadwell",-0.056667,51.511542
"001019 - Ampton Street , Clerkenwell",-0.11829517,51.52728093
"300058 - The Vale, Chelsea",-0.174971902,51.48512191
"200073 - Cephas Street, Bethnal Green",-0.054883,51.522561
"200180 - South Park, Sands End",-0.193502076,51.46706414
"300081 - Haggerston Road, Haggerston",-0.074284675,51.53932857
"200189 - Phene Street, Chelsea",-0.167919869,51.48498496
"200209 - Shepherd's Bush Road North, Shepherd's Bush",-0.222293381,51.5015946
"200077 - Vicarage Crescent, Battersea",-0.176267008,51.47287627
"002587 - Wormwood Street, Liverpool Street",-0.082422399,51.51615461
"200190 - Queen's Circus, Battersea Park",-0.149551631,51.47761941
"200220 - Blythe Road West, Shepherd's Bush",-0.221791551,51.49968
"001037 - Park Lane , Hyde Park",-0.157275636,51.5100172
"300208 - Lavington Street, Bankside",-0.0980318118664,51.5052241745
"200168 - Southern Grove, Bow",-0.030556,51.523538
"002641 - New North Road 2, Hoxton",-0.086016,51.53114
"001155 - Regency Street, Westminster",-0.132224622,51.49206037
"200218 - Addison Road, Holland Park",-0.210941,51.504199
"300209 - Albert Square, Stockwell",-0.118256789081,51.4765900593
"003449 - Breams Buildings, Holborn",-0.111778348,51.51593725
"010629 - Rotherhithe Roundabout, Rotherhithe",-0.055846029,51.499169
"200194 - Clarence Walk, Stockwell",-0.126994068,51.47073264
"001122 - Ashley Place, Victoria",-0.140947636,51.49616092
"001147 - Clifton Road, Maida Vale",-0.179592915,51.52557531
"001144 - Poured Lines, Bankside",-0.103137426,51.50669284
"200238 - Westferry DLR, Limehouse",-0.025996,51.509303
"200106 - Spanish Road, Clapham Junction",-0.180884959,51.45922541
"300024 - Dunston Road , Haggerston",-0.075885686,51.53658514
"001121 - Lexham Gardens, Kensington",-0.191933711,51.49586666
"001109 - Wellington Arch, Hyde Park",-0.149569201,51.50274025
"001192 - Embankment (Savoy), Strand",-0.119047563,51.50963123
"003450 - Great Titchfield Street, Fitzrovia",-0.141327271,51.52025302
"200153 - Blythe Road, Olympia",-0.21350087,51.496927
"001038 - Harrington Square 1, Camden Town",-0.139174593,51.53301907
"022169 - Wren Street, Holborn",-0.116279,51.524564
"300205 - Cromer Street, Bloomsbury",-0.11955857,51.528279
"022167 - Millharbour, Millwall",-0.019355,51.496137
