station_name,latitude_x,longitude_x,business_name,rating,review_count,distance_m,business_latitude,business_longitude,categories,address,city,state,postal_code,source,name,latitude_y,longitude_y,free_bikes,empty_slots,total_docks
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Restaurant Gordon Ramsay,4.3,263,1203.1360486532333,51.485833,-0.161966,"French, British",68 Royal Hospital Road,London,XGL,SW3 4HP,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Dinner by Heston Blumenthal,4.4,322,3003.7685700536085,51.502163,-0.159966,British,66 Knightsbridge,London,XGL,SW1X 7LA,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Queens Arms,4.4,251,2384.206277158547,51.4925789,-0.1392194,"British, Pubs, Gastropubs",11 Warwick Way,London,XGL,SW1V 1QT,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Petrus,4.5,145,2723.0615114746215,51.4993674,-0.1565204,French,1 Kinnerton Street,London,XGL,SW1X 8EA,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Harwood Arms,4.5,155,2723.4002507748205,51.4829113087309,-0.196470990454087,"Gastropubs, British",27 Walham Grove,London,XGL,SW6 1QP,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Dishoom,4.6,449,3655.727942880712,51.5012974019964,-0.191184893250465,"Indian, Breakfast & Brunch",4 Derry Street,Kensington,XGL,W8 5SE,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Dishoom,4.5,2846,4708.385418647745,51.512447030091,-0.1269579217873,Indian,12 Upper Saint Martin's Lane,London,XGL,WC2H 9FB,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Mayfair Chippy,4.5,606,4242.1095616733655,51.5131345,-0.1533961,Fish & Chips,14 North Audley Street,London,XGL,W1K 6WE,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Ffiona's Restaurant,4.7,336,3968.081949847315,51.50405773515,-0.192783395566043,British,51 Kensington Church Street,London,XGL,W8 4BA,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Dishoom,4.5,808,4426.673984072333,51.513087,-0.139767,Indian,22 Kingly Street,London,XGL,W1B 5QP,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,The Draft House Westbridge,4.6,44,838.9037556962344,51.4783074,-0.1701164,"Pubs, British",74-76 Battersea Bridge Road,London,XGL,SW11 3AG,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,Medlar,4.4,39,1559.4263584520331,51.4833984375,-0.177386000752449,"British, French",438 King's Road,London,XGL,SW10 0LJ,yelp,"300073 - Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,13,5,18
